reviewerID,itemID,overall,Udeep,Ideep
37,0,5,-1.5699462803600734e-05,-0.0010579869195050365
51,0,5,-0.0007584737402945817,-0.0010579869195050365
54,0,1,7.754200638330366e-06,-0.0010579869195050365
39,1,1,-6.988223347946508e-06,-0.04856116122783877
19,1,5,-9.575333523242484e-05,-0.04856116122783877
3,1,5,-5.2724298197753035e-05,-0.04856116122783877
43,1,5,0.0018965451941970251,-0.04856116122783877
18,1,5,-1.8518719029642763e-05,-0.04856116122783877
20,1,5,-5.203416131463052e-05,-0.04856116122783877
10,1,5,5.1252434303297105e-05,-0.04856116122783877
46,1,5,-0.00011675003256533379,-0.04856116122783877
36,1,2,9.973386027844558e-06,-0.04856116122783877
60,1,1,-1.2274467202323949e-05,-0.04856116122783877
35,1,5,-0.0010747881976857787,-0.04856116122783877
38,1,1,-4.1856211496107605e-06,-0.04856116122783877
21,1,2,-0.00010131457455481792,-0.04856116122783877
6,1,5,2.5162087510307852e-06,-0.04856116122783877
14,1,5,-0.0001223461852655868,-0.04856116122783877
68,1,5,1.6555873424816298e-05,-0.04856116122783877
56,1,5,8.313143383017915e-06,-0.04856116122783877
57,1,5,8.718327578770934e-05,-0.04856116122783877
45,1,5,-0.00019269779972680477,-0.04856116122783877
9,1,5,-5.621091673615467e-05,-0.04856116122783877
69,1,5,-8.128321619175783e-05,-0.04856116122783877
61,1,5,-2.6170469661195814e-05,-0.04856116122783877
5,1,2,-0.00011696889318906188,-0.04856116122783877
59,1,1,7.556658744155755e-06,-0.04856116122783877
64,1,5,6.33766158392615e-05,-0.04856116122783877
29,1,5,-8.593877832825275e-05,-0.04856116122783877
27,1,5,-3.894943012910825e-05,-0.04856116122783877
53,1,1,1.2406247450732486e-05,-0.04856116122783877
8,1,5,-0.00041188066189992375,-0.04856116122783877
1,1,5,-0.0001490261882370604,-0.04856116122783877
2,1,5,-0.002843781344342216,-0.04856116122783877
49,1,5,-0.00020727814145247699,-0.04856116122783877
24,1,5,-5.556258671083295e-05,-0.04856116122783877
25,1,1,-0.0002547785043419656,-0.04856116122783877
30,1,5,-0.00011962150363671496,-0.04856116122783877
16,1,4,-0.0003909470713952067,-0.04856116122783877
41,1,5,7.725878672734722e-06,-0.04856116122783877
48,1,5,-0.00036138344545760684,-0.04856116122783877
17,1,5,-0.00014468707404522295,-0.04856116122783877
0,1,5,0.0001765171208349479,-0.04856116122783877
13,1,1,-2.8036886198448175e-05,-0.04856116122783877
67,1,5,0.00010014941526689016,-0.04856116122783877
22,1,1,-0.0001767256376293658,-0.04856116122783877
33,1,5,-4.443585519967039e-05,-0.04856116122783877
28,1,5,5.302595326838811e-05,-0.04856116122783877
58,1,5,-8.104402228868403e-06,-0.04856116122783877
15,1,2,-9.30758215643843e-06,-0.04856116122783877
47,1,5,7.722884660425823e-05,-0.04856116122783877
11,1,5,0.0019705322147206116,-0.04856116122783877
66,1,5,-0.00012987341493124536,-0.04856116122783877
34,1,5,0.00015947319115649822,-0.04856116122783877
52,1,1,0.0007129382257150936,-0.04856116122783877
23,1,5,-5.1935274564398015e-05,-0.04856116122783877
65,1,5,0.0002577344700152558,-0.04856116122783877
12,1,5,0.0005217020571157093,-0.04856116122783877
50,1,5,-0.0004900561705286658,-0.04856116122783877
42,1,5,-0.00010366559225739051,-0.04856116122783877
40,1,5,4.7019647557476166e-05,-0.04856116122783877
55,1,5,-0.0006715464150052002,-0.04856116122783877
26,1,5,-0.00011054883207342886,-0.04856116122783877
4,1,4,-0.0005931271177681556,-0.04856116122783877
7,1,5,0.00010524493796551529,-0.04856116122783877
44,1,5,-1.1814719449105846e-05,-0.04856116122783877
32,1,4,-2.4099096743308447e-05,-0.04856116122783877
62,1,1,-4.053977411905045e-05,-0.04856116122783877
63,1,4,0.0004966797355857367,-0.04856116122783877
31,1,5,-0.00012158039811970307,-0.04856116122783877
